Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
Medium Risk,Georgetown,1223 S Bailey St,1928,1,No visible retrofit,Commercial,11-100,Google Street View,39.9342087,-75.1882986
Medium Risk,Georgetown,421 S River St,1941,2,No visible retrofit,Industrial,11-100,Google Street View,34.0168442,-117.8190305
Medium Risk,Georgetown,5245 East Marginal Way S,1919,1,No visible retrofit,Industrial,11-100,Permit Drawing Review,47.5541422,-122.3383203
Medium Risk,Georgetown,5421 1st Ave S,1941,1,No visible retrofit,Industrial,10-Jan,Permit Drawing Review,47.5536573,-122.3347206
Medium Risk,Georgetown,5501 Airport Way S,1906,2,No visible retrofit,Office,11-100,Google Street View,37.8886236,-121.2508297
Medium Risk,Georgetown,5531 Airport Way S,1928,1,No visible retrofit,Industrial,10-Jan,Field Visit,37.8881766,-121.2506501
Medium Risk,Georgetown,5605 Corson Ave S,1906,2,No visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,47.5521645,-122.3201622
Medium Risk,Georgetown,5625 Airport Way S,1924,1,Substantial Alteration,Commercial,101+,Google Street View,37.8867685,-121.2500931
High Risk,Georgetown,5800 4th Ave S,1938,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.5508427,-122.329149
Medium Risk,Georgetown,5813 Airport Way S,1905,2,No visible retrofit,Commercial,101+,Google Street View,37.8069336,-121.2528804
Medium Risk,Georgetown,6107 13th Ave S,1940,1,No visible retrofit,Industrial,11-100,Google Street View,47.5483677,-122.3162324
Medium Risk,Georgetown,6111 13th Ave S,1929,1,No visible retrofit,Commercial,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Georgetown,6124 12th Ave S,1922,1,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.5479412,-122.3171584
Medium Risk,Georgetown,6200 13th Ave S,1909,2,Visible retrofit,Commercial,11-100,White Card Permit Records,47.5476764,-122.315954
Medium Risk,Georgetown,6285 Airport Way S,1905,3,No visible retrofit,Residential,11-100,Google Street View,37.8071273,-121.2528883
Medium Risk,Green Lake,5201 Green Lake Way N,0,1,No visible retrofit,Government,10-Jan,Field Visit,36.778261,-119.4179324
High Risk,Green Lake,2253 N 56th St,1928,1,No visible retrofit,Public Assembly,101+,Google Street View,27.9748228,-82.3935769
High Risk,Green Lake,7312 West Green Lake Dr N,1927,1,No visible retrofit,Public Assembly,101+,Google Street View,47.6821202,-122.3398513
Medium Risk,Green Lake,8061 Densmore Ave N,1929,1,Permitted Retrofit,Government,11-100,Google Street View,34.2216787,-118.478701
Medium Risk,Green Lake,307 NE Maple Leaf Pl,1922,2,No visible retrofit,Commercial,101+,Google Street View,47.6807085,-122.325704
Medium Risk,Green Lake,316 NE 72nd St,1930,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,25.8415256,-80.1907298
Medium Risk,Green Lake,410 NE 72nd St,1923,1,No visible retrofit,Commercial,10-Jan,Field Visit,47.680694,-122.3242535
High Risk,Green Lake,7364 East Green Lake Dr N,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,47.6814942,-122.3266587
Medium Risk,Green Lake,6315 Roosevelt Way NE,1940,1,No visible retrofit,Commercial,11-100,Field Visit,47.674608,-122.3176459
Medium Risk,Green Lake,6403 Roosevelt Way NE,1929,1,No visible retrofit,Commercial,11-100,Google Street View,47.675108,-122.3174909
Medium Risk,Green Lake,6423 Latona Ave NE,1907,2,No visible retrofit,Commercial,11-100,Google Street View,47.6757956,-122.3255799
Medium Risk,Green Lake,7200 East Green Lake Dr N,1927,1,No visible retrofit,Commercial,11-100,Google Street View,47.680474,-122.3256954
Medium Risk,Green Lake,7200 Woodlawn Ave NE,1912,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6806206,-122.3246122
Medium Risk,Green Lake,7203 Woodlawn Ave NE,1921,1,No visible retrofit,Commercial,11-100,White Card Permit Records,47.680651,-122.3249987
High Risk,Green Lake,7220 Woodlawn Ave NE,1921,2,Permitted Retrofit,Public Assembly,101+,Google Street View,47.6810985,-122.3248016
Medium Risk,Green Lake,7301 Roosevelt Way NE,1931,1,No visible retrofit,Commercial,11-100,Google Street View,47.6817762,-122.317827
High Risk,Green Lake,7400 Woodlawn Ave NE,1918,2,No visible retrofit,Public Assembly,101+,Google Street View,47.6825251,-122.3266688
Medium Risk,Green Lake,7706 Aurora Ave N,1930,1,No visible retrofit,Commercial,11-100,Google Street View,47.6850399,-122.3441296
Medium Risk,Green Lake,7918 Aurora Ave N,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6866404,-122.3440851
Critical Risk,Green Lake,520 NE Ravenna Blvd,1927,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6772223,-122.3223421
Critical Risk,Green Lake,7901 Stone Ave N,1913,2,No visible retrofit,Schools,101+,Google Street View,47.6863095,-122.3428694
Critical Risk,Greenwood/Phinney Ridge,120 N 79th St,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6864164,-122.3570951
High Risk,Greenwood/Phinney Ridge,121 N 80th St,1931,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,47.6867616,-122.3570046
Critical Risk,Greenwood/Phinney Ridge,144 NW 80th St,1908,3,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,47.68735,-122.3598361
Medium Risk,Greenwood/Phinney Ridge,213 N 85th St,1919,3,No visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,47.6904074,-122.3559383
Medium Risk,Greenwood/Phinney Ridge,517 NW 65th St,1922,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.6758881,-122.363713
Medium Risk,Greenwood/Phinney Ridge,5705 Phinney Ave N,1930,3,No visible retrofit,Residential,11-100,Google Street View,47.6706964,-122.3547435
Medium Risk,Greenwood/Phinney Ridge,6001 Phinney Ave N,1920,1,No visible retrofit,Office,11-100,Google Street View,47.6726167,-122.354656
High Risk,Greenwood/Phinney Ridge,6615 Dayton Ave N,1917,3,Permitted Retrofit,Public Assembly,101+,Google Street View,47.6773216,-122.3528677
Medium Risk,Greenwood/Phinney Ridge,7219 Greenwood Ave N,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6814288,-122.355488
Medium Risk,Greenwood/Phinney Ridge,7223 Aurora Ave N,1926,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.6816138,-122.3446674
Medium Risk,Greenwood/Phinney Ridge,7401 Aurora Ave N,1927,2,No visible retrofit,Commercial/Office,11-100,Field Visit,47.682773,-122.344879
Medium Risk,Greenwood/Phinney Ridge,7411 Aurora Ave N,1923,1,No visible retrofit,Commercial,11-100,Google Street View,47.683168,-122.344841
Medium Risk,Greenwood/Phinney Ridge,7413 Greenwood Ave N,1925,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps,47.6829821,-122.3556305
Medium Risk,Greenwood/Phinney Ridge,7503 Aurora Ave N,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6834114,-122.3448071
Medium Risk,Greenwood/Phinney Ridge,7601 Greenwood Ave N,1928,1,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6842392,-122.3555653
Medium Risk,Greenwood/Phinney Ridge,7613 Greenwood Ave N,1928,1,No visible retrofit,Commercial,10-Jan,Photos from Previous Surveys,47.684288,-122.3556937
Medium Risk,Greenwood/Phinney Ridge,7619 6th Ave NW,1927,1,No visible retrofit,Office,10-Jan,Sandborn Insurance Maps,47.6845143,-122.3635069
Medium Risk,Greenwood/Phinney Ridge,7700 6th Ave NW,1928,1,No visible retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
High Risk,Greenwood/Phinney Ridge,7800 Greenwood Ave N,1922,2,No visible retrofit,Public Assembly,101+,Field Visit,35.119225,-117.989353
Medium Risk,Greenwood/Phinney Ridge,7900 1st Ave NW,1931,2,Substantial Alteration,Residential,11-100,History Link,47.6869978,-122.3577907
Medium Risk,Greenwood/Phinney Ridge,8408 Greenwood Ave N,1927,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.6901821,-122.355006
Medium Risk,Greenwood/Phinney Ridge,8410 Greenwood Ave N,1927,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,36.778261,-119.4179324
Medium Risk,Greenwood/Phinney Ridge,8417 Greenwood Ave N,1945,1,No visible retrofit,Commercial,11-100,Field Visit,47.690379,-122.3555862
Medium Risk,Greenwood/Phinney Ridge,8500 Greenwood Ave N,1928,2,No visible retrofit,Commercial/Office,11-100,Field Visit,35.119665,-117.9768166
Medium Risk,Greenwood/Phinney Ridge,8516 Greenwood Ave N,1925,1,No visible retrofit,Commercial,101+,Field Visit,35.1198304,-117.9763133
Medium Risk,Greenwood/Phinney Ridge,8537 Greenwood Ave N,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6916051,-122.3557973
Medium Risk,Greenwood/Phinney Ridge,8550 Greenwood Ave N,1928,1,No visible retrofit,Commercial,11-100,Field Visit,47.691393,-122.355056
Medium Risk,Greenwood/Phinney Ridge,8558 Greenwood Ave N,1928,1,No visible retrofit,Commercial,101+,Field Visit,47.6916615,-122.3550596
High Risk,Greenwood/Phinney Ridge,8580 Greenwood Ave N,1928,1,No visible retrofit,Public Assembly,101+,Field Visit,47.6922994,-122.3550384
Medium Risk,Highland Park,1100 SW Cloverdale St,1938,1,No visible retrofit,Government,10-Jan,Permit Drawing Review,47.5274782,-122.3487433
Medium Risk,Interbay,1038 Elliott Ave W,1925,2,No visible retrofit,Industrial,10-Jan,Field Visit,47.6283955,-122.3703634
Medium Risk,Interbay,1461 Elliott Ave W,1937,2,Permitted Retrofit,Commercial,11-100,Google Street View,47.6316107,-122.3753948
Medium Risk,Interbay,3202 15th Ave W,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6487304,-122.3759651
Medium Risk,Interbay,3208 15th Ave W,1926,1,No visible retrofit,Commercial,10-Jan,Permit Drawing Review,47.6488753,-122.3758812
Medium Risk,Interbay,904 Elliott Ave W,1931,2,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6271387,-122.3686615
High Risk,Judkins Park,104 17th Ave S,1913,3,Permitted Retrofit,Public Assembly,101+,Google Street View,43.6598614,-116.6780963
Medium Risk,Judkins Park,109 18th Ave S,1911,1,No visible retrofit,Commercial,10-Jan,Google Street View,27.7528225,-82.6342173
Critical Risk,Judkins Park,1902 S Main St,1920,1,Visible retrofit,Schools,11-100,Google Street View,33.8605721,-117.5691662
Medium Risk,Judkins Park,1300 S Dearborn St,1932,1,Visible retrofit,Commercial,11-100,Google Street View,47.5961506,-122.3155342
Medium Risk,Judkins Park,1419 S Jackson St,1925,2,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,47.5992237,-122.3115777
High Risk,Judkins Park,1427 S Main St,1947,1,No visible retrofit,Public Assembly,101+,Google Street View,33.7288406,-117.8675436
Medium Risk,Judkins Park,1432 S Jackson St,1925,1,No visible retrofit,Industrial,10-Jan,Google Street View,36.778261,-119.4179324
Medium Risk,Judkins Park,1713 E Yesler Way,1912,1,No visible retrofit,Commercial,11-100,Google Street View,47.6015469,-122.3095565
Medium Risk,Judkins Park,1723 S Jackson St,1924,1,No visible retrofit,Office,11-100,Google Street View,47.5992237,-122.3115777
Medium Risk,Judkins Park,2000 S Jackson St,1914,1,No visible retrofit,Commercial,11-100,Google Street View,47.599481,-122.306053
High Risk,Judkins Park,604 20th Ave S,1911,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,36.778261,-119.4179324
Critical Risk,Judkins Park,620 20th Ave S,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,37.7761165,-122.4789492
Medium Risk,Judkins Park,624 Rainier Ave S,1923,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.5969878,-122.312056
Medium Risk,Laurelhurst/Sand Point,6305 NE 74th St,1936,2,No visible retrofit,Government,10-Jan,Previous Seismic Reports,47.682283,-122.2836923
Medium Risk,Laurelhurst/Sand Point,6327 NE 74th St,1939,1,No visible retrofit,Government,10-Jan,Previous Seismic Reports,47.682283,-122.2836923
Medium Risk,Laurelhurst/Sand Point,7101 62nd Ave NE,1929,3,Substantial Alteration,Residential,101+,Department of Neighborhoods,47.6805765,-122.262898
Medium Risk,Laurelhurst/Sand Point,7727 63rd Ave NE,1929,2,No visible retrofit,Government,11-100,Department of Neighborhoods,47.6855163,-122.2630747
Medium Risk,Laurelhurst/Sand Point,7737 62nd Ave NE,1930,1,No visible retrofit,Government,10-Jan,Department of Neighborhoods,47.721736,-122.2574673
Medium Risk,Laurelhurst/Sand Point,7777 62nd Ave NE,1938,1,Substantial Alteration,Commercial,11-100,Previous Seismic Reports,47.6880839,-122.26493
Critical Risk,Laurelhurst/Sand Point,6200 NE 74th St,1937,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.682535,-122.2630339
Medium Risk,Laurelhurst/Sand Point,6222 NE 74th St,1937,3,Substantial Alteration,Office,101+,Permit Drawing Review,47.682373,-122.262219
Medium Risk,Laurelhurst/Sand Point,7561 63rd Ave NE,1929,2,Visible retrofit,Government,11-100,Department of Neighborhoods,33.5470506,-112.1944368
Critical Risk,Laurelhurst/Sand Point,4530 46th Ave NE,1950,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6622329,-122.2778793
Medium Risk,Licton Springs,10325 Aurora Ave N,1931,1,No visible retrofit,Commercial,11-100,Google Street View,47.7041088,-122.3449593
Medium Risk,Licton Springs,10326 Aurora Ave N,1928,1,No visible retrofit,Commercial,101+,Google Street View,47.7040861,-122.3443169
Medium Risk,Licton Springs,10333 Aurora Ave N,1926,1,Visible retrofit,Commercial,101+,Google Street View,47.7041903,-122.3450071
Medium Risk,Licton Springs,9710 Aurora Ave N,1948,1,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,47.6999527,-122.3442991
High Risk,Madison Park,1642 43rd Ave E,1910,2,No visible retrofit,Public Assembly,101+,Google Street View,36.778261,-119.4179324
Critical Risk,Madison Park,408 Lake Washington Blvd E,1915,3,No visible retrofit,Schools,101+,Google Street View,47.6231061,-122.285513
Medium Risk,Madison Park,4130 E Madison St,1928,1,Visible retrofit,Commercial/Office,11-100,Field Visit,47.6355614,-122.2787496
Medium Risk,Madison Park,4218 E Madison St,1919,1,No visible retrofit,Public Assembly,11-100,Field Visit,47.6362651,-122.2778415
Medium Risk,Madison Park,4230 E Madison St,1919,1,No visible retrofit,Commercial,11-100,Field Visit,36.7493617,-119.753819
Critical Risk,Madison Park,1617 38th Ave E,1913,3,Permitted Retrofit,Schools,101+,Field Visit,32.6893451,-117.1124804
Medium Risk,Madrona/Leschi,1408 34th Ave,1924,1,No visible retrofit,Commercial,11-100,Field Visit,37.7607741,-122.4928172
Medium Risk,Madrona/Leschi,800 Lake Washington Blvd,1922,1,Visible retrofit,Public Assembly,11-100,Photos from Previous Surveys,38.5508336,-121.5300706
Medium Risk,Madrona/Leschi,2513 S Jackson St,1924,1,No visible retrofit,Commercial,11-100,Field Visit,47.5991337,-122.2992636
Critical Risk,Madrona/Leschi,2712 S Jackson St,1926,1,No visible retrofit,Schools,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Madrona/Leschi,2713 S Jackson St,1907,2,Permitted Retrofit,Commercial,11-100,Google Street View,33.8362004,-118.2182669
High Risk,Madrona/Leschi,2801 S Jackson St,1932,2,No visible retrofit,Public Assembly,101+,Google Street View,37.791415,-122.441437
High Risk,Madrona/Leschi,3201 E Republican St,1913,1,Permitted Retrofit,Public Assembly,101+,Sandborn Insurance Maps,47.623006,-122.2907526
Medium Risk,Madrona/Leschi,917 34th Ave,0,1,No visible retrofit,Government,10-Jan,Google Street View,35.3903016,-119.0124349
Medium Risk,Madrona/Leschi,3309 E Union St,1929,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.6127434,-122.2898123
Medium Risk,Madrona/Leschi,1134 33rd Ave,1919,1,Substantial Alteration,Government,11-100,Google Street View,37.764644,-122.4919985
Critical Risk,Madrona/Leschi,924 35th Ave,1900,1,Permitted Retrofit,Schools,101+,Google Street View,36.778261,-119.4179324
Critical Risk,Magnolia,2418 28th Ave W,1927,2,Substantial Alteration,Schools,101+,Google Street View,47.640582,-122.3922591
Medium Risk,Miller Park,1000 Turner Way E,1910,1,No visible retrofit,Office,11-100,Google Street View,38.144107,-121.255831
Medium Risk,Miller Park,128 16th Ave E,1906,2,No visible retrofit,Office,11-100,Sandborn Insurance Maps,34.1289371,-117.2843134
Medium Risk,Miller Park,1608 E Republican St,1922,4,No visible retrofit,Residential,11-100,Google Street View,47.6234396,-122.3108413
Medium Risk,Miller Park,1619 E John St,1927,5,Permitted Retrofit,Residential,11-100,Google Street View,47.619531,-122.3104732
Medium Risk,Miller Park,1914 E Mercer St,1912,2,No visible retrofit,Residential,11-100,Google Street View,47.6245232,-122.3066802
High Risk,Miller Park,1919 E Prospect St,1924,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6284434,-122.306372
Medium Risk,Miller Park,317 18th Ave E,1916,3,No visible retrofit,Residential,11-100,Google Street View,37.2981375,-120.4701233
Medium Risk,Miller Park,400 15th Ave E,1920,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,47.6222583,-122.3123213
Medium Risk,Miller Park,620 19th Ave E,1907,2,No visible retrofit,Residential,11-100,Google Street View,37.9407558,-122.3512474
Critical Risk,Miller Park,728 21st Ave E,1908,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.626175,-122.304155
High Risk,Miller Park,732 18th Ave E,1923,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6265919,-122.3081726
Critical Risk,Montlake/Portage Bay,1617 Interlaken Dr E,1911,4,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,47.6342764,-122.3079247
Medium Risk,Montlake/Portage Bay,2305 24th Ave E,1922,1,No visible retrofit,Commercial,11-100,Google Street View,47.6396901,-122.3023145
Medium Risk,Montlake/Portage Bay,2351 10th Ave E,1930,1,No visible retrofit,Commercial,11-100,Google Street View,47.6411277,-122.3202365
Medium Risk,Montlake/Portage Bay,2409 10th Ave E,1921,1,No visible retrofit,Commercial,11-100,Google Street View,47.64172,-122.3203088
Critical Risk,Montlake/Portage Bay,2515 Boylston Ave E,1917,3,Permitted Retrofit,Schools,101+,Field Visit,47.6426149,-122.3245212
Medium Risk,Mt. Baker/North Rainier,1400 31st Ave S,1931,1,No visible retrofit,Commercial,11-100,Field Visit,47.5902016,-122.292248
High Risk,Mt. Baker/North Rainier,1501 32nd Ave S,1947,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,47.5892052,-122.2918635
Medium Risk,Mt. Baker/North Rainier,2300 S Massachusetts St,1900,3,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,47.5890396,-122.3018363
Critical Risk,Mt. Baker/North Rainier,3201 Hunter Blvd S,1924,2,No visible retrofit,Schools,101+,Google Street View,47.5750062,-122.2854692
Critical Risk,Mt. Baker/North Rainier,3013 S Mt Baker Blvd,1912,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.576414,-122.292936
Medium Risk,North Beacon Hill/Jefferson Park,1407 S Dearborn St,1921,1,No visible retrofit,Office,10-Jan,Photos from Previous Surveys,47.5955809,-122.3134028
Medium Risk,North Beacon Hill/Jefferson Park,1501 S Dearborn St,1920,1,Permitted Retrofit,Commercial,10-Jan,Photos from Previous Surveys,36.778261,-119.4179324
Medium Risk,North Beacon Hill/Jefferson Park,1811 Rainier Ave S,1928,1,No visible retrofit,Commercial/Office,11-100,Google Street View,47.5867566,-122.3050109
Medium Risk,North Beacon Hill/Jefferson Park,2507 Beacon Ave S,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.5805797,-122.3137572
Medium Risk,North Beacon Hill/Jefferson Park,2541 15th Ave S,1929,2,No visible retrofit,Residential,11-100,Field Visit,47.5796409,-122.3137498
High Risk,North Beacon Hill/Jefferson Park,2801 15th Ave S,1931,2,No visible retrofit,Public Assembly,101+,Google Street View,36.778261,-119.4179324
Medium Risk,North Beacon Hill/Jefferson Park,800 Rainier Ave S,1925,1,No visible retrofit,Commercial,10-Jan,Sandborn Insurance Maps,47.5956962,-122.3110671
Medium Risk,North Capitol Hill,1112 Broadway E,1922,4,No visible retrofit,Residential,11-100,Google Street View,33.7685262,-118.1782639
Medium Risk,North Capitol Hill,1132 10th Ave E,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6296562,-122.3199255
High Risk,North Capitol Hill,1400 E Prospect St,1906,4,No visible retrofit,Government,10-Jan,Field Visit,47.6302814,-122.3142337
Medium Risk,North Capitol Hill,1508 10th Ave E,1923,3,No visible retrofit,Residential,11-100,Google Street View,47.6325964,-122.3197679
Medium Risk,North Capitol Hill,614 Broadway E,1927,1,No visible retrofit,Commercial,11-100,Field Visit,34.0988419,-118.0927215
High Risk,North Capitol Hill,618 Broadway E,1921,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.6248894,-122.3207098
Critical Risk,North Capitol Hill,1058 E Mercer St,1919,3,Permitted Retrofit,Schools,101+,Google Street View,47.624702,-122.318307
Critical Risk,North Capitol Hill,710 E Roy St,1921,3,Permitted Retrofit,Schools,101+,Sandborn Insurance Maps,47.6253022,-122.3231565
Medium Risk,North Capitol Hill,921 11th Ave E,1922,4,No visible retrofit,Residential,11-100,Google Street View,47.627442,-122.318382
Medium Risk,North Capitol Hill,933 11th Ave E,1924,4,Permitted Retrofit,Residential,11-100,Google Street View,34.0326596,-118.2479569
Medium Risk,North Delridge,1128 SW Spokane St,1926,2,No visible retrofit,Industrial,11-100,Google Street View,47.5719359,-122.3516453
High Risk,North Delridge,4408 Delridge Way SW,1917,4,Substantial Alteration,Residential,11-100,Google Street View,47.5636953,-122.3629689
Medium Risk,North Delridge,3214 SW Spokane St,1926,1,No visible retrofit,Government,10-Jan,Google Street View,47.5721742,-122.3736575
Medium Risk,Northgate/Maple Leaf,1200 NE 82nd St,1910,1,Permitted Retrofit,Government,10-Jan,Permit Drawing Review,25.8507542,-80.1736873
Medium Risk,Northgate/Maple Leaf,9412 Roosevelt Way NE,1928,1,No visible retrofit,Commercial,11-100,Google Street View,47.6972554,-122.3174289
Medium Risk,Olympic Hills/Victory Heights,2611 NE 125th St,1931,2,No visible retrofit,Office,101+,Google Street View,47.7190061,-122.2996665
Medium Risk,Pioneer Square/Chinatown International District,1 Yesler Way,1911,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,47.6015768,-122.3357338
High Risk,Pioneer Square/Chinatown International District,100 6th Ave S,1903,5,Visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6014641,-122.3261197
Medium Risk,Pioneer Square/Chinatown International District,1001 S Jackson St,1915,1,Permitted Retrofit,Commercial,11-100,Google Street View,37.7302329,-88.5419737
Medium Risk,Pioneer Square/Chinatown International District,1005 S King St,1914,1,No visible retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,1019 S Jackson St,1932,2,No visible retrofit,Commercial/Office,11-100,Permit Drawing Review,47.5992237,-122.3115777
Medium Risk,Pioneer Square/Chinatown International District,102 Occidental Ave S,1900,6,No visible retrofit,Commercial/Office,101+,Field Visit,34.0706937,-118.2797982
High Risk,Pioneer Square/Chinatown International District,104 1st Ave S,1902,4,Visible retrofit,Commercial/Office,101+,Field Visit,30.2873046,-81.3894367
Medium Risk,Pioneer Square/Chinatown International District,1041 S King St,1911,1,No visible retrofit,Commercial,101+,Google Street View,21.2980804,-157.8390894
Medium Risk,Pioneer Square/Chinatown International District,1043 S Jackson St,1921,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.5987972,-122.3175256
High Risk,Pioneer Square/Chinatown International District,105 1st Ave S,1900,4,No visible retrofit,Commercial/Residential,101+,Field Visit,34.1387108,-118.0285578
Medium Risk,Pioneer Square/Chinatown International District,107 Occidental Ave S,1900,1,Visible retrofit,Commercial,101+,Field Visit,37.5712761,-122.3500262
High Risk,Pioneer Square/Chinatown International District,108 S Washington St,1900,4,No visible retrofit,Commercial/Office,101+,Google Street View,32.4310735,-86.6549387
Medium Risk,Pioneer Square/Chinatown International District,109 Yesler Way,1890,3,Permitted Retrofit,Commercial,11-100,Field Visit,47.6015745,-122.3334327
High Risk,Pioneer Square/Chinatown International District,111 1st Ave S,1900,6,Permitted Retrofit,Commercial/Residential,101+,Field Visit,47.4601033,-122.3313572
Medium Risk,Pioneer Square/Chinatown International District,111 Yesler Way,1890,3,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,47.6016177,-122.3333257
Medium Risk,Pioneer Square/Chinatown International District,112 1st Ave S,1906,3,Visible retrofit,Commercial/Office,11-100,Field Visit,37.9828587,-122.0700955
High Risk,Pioneer Square/Chinatown International District,114 Alaskan Way S,1902,6,Visible retrofit,Other Mixed Uses,101+,Field Visit,47.60109,-122.335555
Medium Risk,Pioneer Square/Chinatown International District,115 Occidental Ave S,1900,1,Visible retrofit,Commercial,11-100,Field Visit,47.6011735,-122.3332678
Medium Risk,Pioneer Square/Chinatown International District,116 S Washington St,1900,2,Visible retrofit,Commercial/Office,11-100,Google Street View,33.86931,-117.8247404
Medium Risk,Pioneer Square/Chinatown International District,117 S Main St,1902,4,Visible retrofit,Office,101+,Field Visit,43.0828272,-77.5204912
Medium Risk,Pioneer Square/Chinatown International District,118 S Washington St,1900,2,Permitted Retrofit,Commercial/Office,11-100,Google Street View,31.125443,-92.0671608
High Risk,Pioneer Square/Chinatown International District,119 1st Ave S,1900,6,Visible retrofit,Office,101+,Field Visit,47.6010575,-122.3345728
Medium Risk,Pioneer Square/Chinatown International District,122 S Jackson St,1900,3,Visible retrofit,Commercial,101+,Field Visit,34.1454704,-118.2499622
High Risk,Pioneer Square/Chinatown International District,124 S Washington St,1900,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,34.1352083,-117.8689858
High Risk,Pioneer Square/Chinatown International District,164 S Washington St,1900,1,Permitted Retrofit,Public Assembly,101+,Field Visit,47.6009853,-122.3320783
Medium Risk,Pioneer Square/Chinatown International District,173 S Washington St,1900,1,Substantial Alteration,Commercial,11-100,Field Visit,37.983101,-120.3818529
High Risk,Pioneer Square/Chinatown International District,200 5th Ave S,1910,5,Permitted Retrofit,Residential,101+,Google Street View,47.6006955,-122.3275121
Medium Risk,Pioneer Square/Chinatown International District,201 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,47.6007348,-122.3344947
High Risk,Pioneer Square/Chinatown International District,201 S Washington St,1905,2,Substantial Alteration,Public Assembly,101+,Field Visit,41.8006455,-87.9292173
High Risk,Pioneer Square/Chinatown International District,202 1st Ave S,1909,3,Substantial Alteration,Public Assembly,101+,Field Visit,47.380738,-122.233315
Medium Risk,Pioneer Square/Chinatown International District,204 3rd Ave S,1905,4,Visible retrofit,Commercial/Residential,101+,Field Visit,37.8491799,-122.4814604
Medium Risk,Pioneer Square/Chinatown International District,205 3rd Ave S,1890,4,Permitted Retrofit,Office,101+,Field Visit,34.137979,-118.024038
High Risk,Pioneer Square/Chinatown International District,206 1st Ave S,1903,5,Substantial Alteration,Commercial/Office,101+,Field Visit,34.1376292,-118.0280075
Medium Risk,Pioneer Square/Chinatown International District,206 3rd Ave S,1904,4,Visible retrofit,Office,11-100,Field Visit,47.600582,-122.329894
Medium Risk,Pioneer Square/Chinatown International District,207 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,47.6005987,-122.3344673
Medium Risk,Pioneer Square/Chinatown International District,207 2nd Ave S,1900,1,Permitted Retrofit,Commercial,11-100,Field Visit,34.1375434,-118.0254245
